sr,clientName,gstin,clientType,senior,multiRegistration,member,turnover,papilioId,gstr9Status,gstr9cStatus,proposalStatus,targetDate,gstr9Arn,gstr9Date,gstr9cArn,gstr9cDate,mailSent,papilioUpdate,remarks
173,SURAKSHA HOSPITALITY - FY 2024-25,29ADWFS3804K1ZB,Non CAS,Gowtham R,No,Gowtham R,,,Yet to Start,Pending,Pending,,,,,,,,
174,Next Bharath Ventures - Karnataka,29AAJCN8555D1Z2,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
175,Next Bharath Ventures - Telangana,36AAJCN8555D1Z7,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
176,MakeenAssam,18AACCK8910E1ZM,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
177,MakeenBihar,10AACCK8910E1Z2,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
178,MakeenChattisgarh,22AACCK8910E1ZX,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
179,MakeenGujarat,24AACCK8910E1ZT,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
180,MakeenJharkhand,20AACCK8910E1Z1,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
181,MakeenMadhya pradesh,23AACCK8910E1ZV,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
182,MakeenHaryana,06AACCK8910E1ZR,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
183,MakeenMaharashtra,27AACCK8910E1ZN,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
184,MakeenPunjab,03AACCK8910E1ZX,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
185,MakeenKarnataka,29AACCK8910E1ZJ,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
186,MakeenOdisha,21AACCK8910E1ZZ,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
187,MakeenTamil Nadu,33AACCK8910E1ZU,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
188,MakeenUttar Pradesh,09AACCK8910E1ZL,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
189,MakeenTelangana,36AACCK8910E1ZO,,Aditya,Yes,Sandeep bhat,,,In Progress,In Progress,Pending,,,,,,,,
190,Sombo Communication,,,Balaji,No,Santosh R,,,In Progress,In Progress,Pending,,,,,,,,
191,Anteriad Private Limited,29AAECT0059K1Z3,,Balaji,No,Santosh R,,,In Progress,In Progress,Pending,,,,,,,,
