sr,clientName,gstin,clientType,senior,multiRegistration,member,turnover,papilioId,gstr9Status,gstr9cStatus,proposalStatus,targetDate,gstr9Arn,gstr9Date,gstr9cArn,gstr9cDate,mailSent,papilioUpdate,remarks
109,Scribetech India Healthcare Private Limited - Maharashtra,27AABCE2191E2ZW,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
110,Ennoventure Marketing India Pvt Ltd,29AAHCE4006C1Z1,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
111,Partex Marking Systems India Pvt Ltd,29AAHCP0512E1ZR,,Balaji,No,Santosh R,,,In Progress,In Progress,Select,,,,,,,,
112,Fundamentum Investment advisory LLP Karnataka,29AAHFF8123E1ZG,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
113,Fundamentum Investment advisory LLP Haryana,06AAHFF8123E1ZO,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
114,The Fundamentum Partnership Fund I,06AACTT9886F1ZW,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
115,BEEROUTE RESEARCH PRIVATE LIMITED,29AAGCB5072L1ZA,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
116,REDSEER MANAGEMENT CONSULTING PRIVATE LIMITED,29AAECR5087K1ZR,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
117,REDSEER MANAGEMENT CONSULTING PRIVATE LIMITED,06AAECR5087K1ZZ,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
118,Redseer strategy consultants private limited	,29AAMCR6459F1ZS,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
119,Redseer strategy consultants private limited	,06AAMCR6459F1Z0,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
120,ManifestIT Software India Pvt Ltd,29AARCM2781L1ZM,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
121,MYSA INNOVATIONS PRIVATE LIMITED,29AARCM0248C1ZF,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
122,WEEKDAY OPERATION VACATION PRIVATE LIMITED (Stackit),29AADCW4862A1ZB,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
123,CHOTA HOSPITAL PRIVATE LIMITED(Indore-MP) (Docvita),23AAGCC0782J1ZQ,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
124,CHOTA HOSPITAL PRIVATE LIMITED(Ahmedabad-Gujarat) (Docvita),24AAGCC0782J1ZO,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
125,CHOTA HOSPITAL PRIVATE LIMITED(Karnataka) (Docvita),29AAGCC0782J1ZE,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
126,CHOTA HOSPITAL PRIVATE LIMITED(Haryana) (Docvita),06AAGCC0782J1ZM,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
127,Rootfi Technologies Pvt Ltd,29AAMCR0971J1ZU,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
128,Inagiffy Solutions Private Limited,27AAHCI1508H1ZQ,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
129,First Estate Properties Pvt Ltd (Pradeep Joe),29ABDPV7157P1ZM,,Balaji,No,Bhoomika,,,In Progress,Pending,Select,,,,,,,,
130,GrowthPlug India Private Ltd,32AAJCG0086C1Z2,,Balaji,No,Bhoomika,,,In Progress,Pending,Select,,,,,,,,
131,Shankar Electricals ,29ADAFS2432D1ZE,,Balaji,No,Bhoomika,,,In Progress,Pending,Select,,,,,,,,
132,JUNIOR ACHIEVEMENT INDIA SERVICES,29AABCJ8534G1ZD,,Balaji,No,Bhoomika,,,In Progress,Pending,Select,,,,,,,,
